Crater_ID,Confidence,Real_Lunar_Latitude,Real_Lunar_Longitude,Latitude_Decimal,Longitude_Decimal,Real_Diameter_km,Center_X_px,Center_Y_px,Official_IAU_Name
Crater #31,63.9%,9.48°N,17.98°W,9.4757,-17.9845,59.5,691,300,IAU: Copernicus A
Crater #32,63.2%,7.84°N,23.43°W,7.8367,-23.4282,39.9,226,442,Uncataloged Impact Crater
Crater #33,62.1%,8.66°N,16.97°W,8.6562,-16.966,60.55,778,371,Uncataloged Impact Crater
Crater #34,61.6%,8.56°N,19.61°W,8.5639,-19.6117,31.85,552,379,IAU: Copernicus H
Crater #35,61.0%,11.59°N,24.96°W,11.588,-24.9618,69.65,95,117,Uncataloged Impact Crater
Crater #36,61.0%,11.11°N,20.88°W,11.1147,-20.8761,38.15,444,158,Uncataloged Impact Crater
Crater #37,60.8%,9.89°N,17.52°W,9.8912,-17.5162,29.4,731,264,IAU: Copernicus A
Crater #38,60.4%,11.66°N,23.12°W,11.6572,-23.1238,38.85,252,111,Uncataloged Impact Crater
Crater #39,60.0%,7.33°N,14.82°W,7.3289,-14.8236,54.6,961,486,Uncataloged Impact Crater
Crater #40,59.7%,11.74°N,18.44°W,11.738,-18.441,73.15,652,104,Uncataloged Impact Crater
Crater #41,59.6%,12.30°N,19.16°W,12.3036,-19.1552,32.55,591,55,Uncataloged Impact Crater
Crater #42,59.3%,6.84°N,21.60°W,6.8441,-21.6019,29.05,382,528,Uncataloged Impact Crater
Crater #43,58.6%,11.25°N,17.41°W,11.2532,-17.4108,25.9,740,146,Uncataloged Impact Crater
Crater #44,58.1%,12.40°N,14.53°W,12.3959,-14.5309,32.9,986,47,Uncataloged Impact Crater
Crater #45,58.0%,7.87°N,18.25°W,7.8713,-18.2537,40.25,668,439,IAU: Copernicus H
Crater #46,57.6%,8.66°N,16.31°W,8.6562,-16.3104,30.8,834,371,Uncataloged Impact Crater
Crater #47,57.5%,12.36°N,20.47°W,12.3613,-20.4663,29.75,479,50,Uncataloged Impact Crater
Crater #48,57.1%,8.19°N,19.18°W,8.1945,-19.1786,59.15,589,411,IAU: Copernicus H
Crater #49,56.5%,7.20°N,18.18°W,7.2019,-18.1835,47.6,674,497,Uncataloged Impact Crater
Crater #50,56.3%,12.33°N,23.03°W,12.3267,-23.0301,36.4,260,53,Uncataloged Impact Crater
Crater #51,56.0%,7.95°N,17.48°W,7.9521,-17.4811,134.05,734,432,Uncataloged Impact Crater
Crater #52,55.7%,11.84°N,15.41°W,11.8419,-15.409,71.05,911,95,Uncataloged Impact Crater
Crater #53,55.6%,7.05°N,20.61°W,7.0518,-20.6068,41.3,467,510,Uncataloged Impact Crater
Crater #54,55.3%,10.04°N,16.25°W,10.0413,-16.2518,43.75,839,251,Uncataloged Impact Crater
Crater #55,55.2%,9.23°N,20.81°W,9.2333,-20.8058,75.95,450,321,IAU: Copernicus (Main Rim)
Crater #56,54.8%,8.23°N,17.53°W,8.2292,-17.5279,34.3,730,408,Uncataloged Impact Crater
Crater #57,54.6%,8.60°N,20.30°W,8.5985,-20.3024,32.55,493,376,Uncataloged Impact Crater
Crater #58,54.4%,10.10°N,21.39°W,10.099,-21.3912,45.5,400,246,Uncataloged Impact Crater
Crater #59,54.2%,8.90°N,17.49°W,8.8986,-17.4928,28.35,733,350,Uncataloged Impact Crater
Crater #60,53.5%,8.23°N,21.08°W,8.2292,-21.0751,42.7,427,408,Uncataloged Impact Crater
Crater #61,53.2%,7.10°N,25.47°W,7.098,-25.4652,38.15,52,506,Uncataloged Impact Crater
Crater #62,53.1%,8.29°N,24.08°W,8.2869,-24.0838,54.6,170,403,Uncataloged Impact Crater
Crater #63,52.5%,10.43°N,17.01°W,10.4337,-17.0128,67.9,774,217,Uncataloged Impact Crater
Crater #64,52.4%,10.60°N,24.41°W,10.5953,-24.4115,35.0,142,203,Uncataloged Impact Crater
Crater #65,51.3%,11.09°N,19.64°W,11.0916,-19.6351,30.1,550,160,Uncataloged Impact Crater
Crater #66,50.9%,10.57°N,18.21°W,10.5722,-18.2069,32.2,672,205,Uncataloged Impact Crater
Crater #67,50.6%,8.99°N,21.11°W,8.9909,-21.1102,36.05,424,342,Uncataloged Impact Crater
Crater #68,50.5%,11.08°N,22.84°W,11.0801,-22.8428,63.35,276,161,Uncataloged Impact Crater
Crater #69,50.3%,6.87°N,14.94°W,6.8672,-14.9407,27.3,951,526,Uncataloged Impact Crater
Crater #70,50.0%,12.44°N,16.80°W,12.4421,-16.8021,30.8,792,43,IAU: Pytheas Crater
Crater #71,49.7%,8.98°N,21.77°W,8.9794,-21.7658,40.95,368,343,Uncataloged Impact Crater
Crater #72,48.7%,11.18°N,24.68°W,11.184,-24.6808,40.25,119,152,Uncataloged Impact Crater
Crater #73,48.6%,9.35°N,22.00°W,9.3488,-21.9999,78.4,348,311,Uncataloged Impact Crater
Crater #74,48.1%,11.54°N,22.50°W,11.5418,-22.5033,33.95,305,121,Uncataloged Impact Crater
Crater #75,47.7%,9.45°N,16.38°W,9.4526,-16.3806,34.65,828,302,Uncataloged Impact Crater
Crater #76,47.7%,12.41°N,14.98°W,12.4075,-14.9758,32.9,948,46,Uncataloged Impact Crater
Crater #77,47.6%,12.38°N,17.53°W,12.3844,-17.5279,35.35,730,48,IAU: Pytheas Crater
Crater #78,47.3%,7.63°N,24.90°W,7.629,-24.9032,61.6,100,460,Uncataloged Impact Crater
Crater #79,47.2%,7.94°N,25.52°W,7.9406,-25.5237,37.1,47,433,Uncataloged Impact Crater
Crater #80,46.8%,11.24°N,20.07°W,11.2417,-20.0683,27.65,513,147,Uncataloged Impact Crater
Crater #81,46.6%,10.12°N,14.55°W,10.1221,-14.5544,36.75,984,244,Uncataloged Impact Crater
Crater #82,45.8%,10.63°N,22.56°W,10.6299,-22.5619,29.4,300,200,Uncataloged Impact Crater
Crater #83,45.3%,12.48°N,16.04°W,12.4767,-16.0411,33.25,857,40,Uncataloged Impact Crater
Crater #84,44.9%,6.76°N,15.57°W,6.7633,-15.5728,27.65,897,535,Uncataloged Impact Crater
Crater #85,44.9%,6.88°N,19.46°W,6.8787,-19.4595,27.3,565,525,Uncataloged Impact Crater
Crater #86,44.5%,8.40°N,14.65°W,8.4023,-14.648,35.35,976,393,Uncataloged Impact Crater
Crater #87,43.9%,7.58°N,20.97°W,7.5828,-20.9697,65.8,436,464,Uncataloged Impact Crater
Crater #88,43.8%,7.43°N,14.31°W,7.4327,-14.3085,53.55,1005,477,Uncataloged Impact Crater
Crater #89,43.2%,9.07°N,18.68°W,9.0717,-18.6752,31.15,632,335,IAU: Copernicus A
Crater #90,42.9%,8.93°N,15.37°W,8.9332,-15.3738,40.95,914,347,Uncataloged Impact Crater
Crater #91,42.1%,11.68°N,19.87°W,11.6803,-19.8693,55.3,530,109,Uncataloged Impact Crater
Crater #92,41.5%,6.75°N,16.46°W,6.7517,-16.4626,25.2,821,536,Uncataloged Impact Crater
Crater #93,41.4%,10.35°N,17.68°W,10.3529,-17.6801,40.25,717,224,IAU: Copernicus A
Crater #94,40.7%,7.06°N,24.32°W,7.0634,-24.3179,39.2,150,509,Uncataloged Impact Crater
Crater #95,40.5%,9.29°N,20.38°W,9.291,-20.3844,28.7,486,316,IAU: Copernicus (Main Rim)
Crater #96,39.9%,11.70°N,14.36°W,11.7034,-14.3553,43.4,1001,107,Uncataloged Impact Crater
Crater #97,38.9%,11.88°N,21.98°W,11.8765,-21.9765,27.65,350,92,Uncataloged Impact Crater
Crater #98,38.8%,10.68°N,20.29°W,10.6761,-20.2907,59.15,494,196,Uncataloged Impact Crater
Crater #99,38.6%,11.36°N,22.08°W,11.3571,-22.0819,32.2,341,137,Uncataloged Impact Crater
Crater #100,37.8%,9.58°N,25.18°W,9.5796,-25.1842,80.85,76,291,IAU: Fauth Crater
Crater #101,37.5%,6.54°N,19.72°W,6.544,-19.7171,22.05,543,554,Uncataloged Impact Crater
Crater #102,37.5%,8.63°N,20.81°W,8.6331,-20.8058,30.8,450,373,Uncataloged Impact Crater
Crater #103,37.4%,11.86°N,16.76°W,11.865,-16.7552,55.65,796,93,IAU: Pytheas Crater
Crater #104,37.2%,12.07°N,25.69°W,12.0727,-25.6876,44.45,33,75,Uncataloged Impact Crater
Crater #105,37.2%,7.09°N,23.46°W,7.0865,-23.4633,35.7,223,507,Uncataloged Impact Crater
Crater #106,36.9%,9.04°N,25.89°W,9.0371,-25.8866,45.5,16,338,IAU: Fauth Crater
Crater #107,36.8%,8.99°N,14.59°W,8.9909,-14.5895,41.3,981,342,Uncataloged Impact Crater
Crater #108,36.5%,10.33°N,22.89°W,10.3298,-22.8897,32.2,272,226,Uncataloged Impact Crater
Crater #109,35.9%,6.54°N,20.52°W,6.544,-20.5249,20.65,474,554,Uncataloged Impact Crater
Crater #110,35.7%,8.64°N,14.30°W,8.6447,-14.2968,33.95,1006,372,Uncataloged Impact Crater
Crater #111,35.3%,9.72°N,19.93°W,9.7181,-19.9278,35.0,525,279,IAU: Copernicus (Main Rim)
Crater #112,35.0%,7.98°N,16.19°W,7.9752,-16.1933,48.65,844,430,Uncataloged Impact Crater
Crater #113,35.0%,11.25°N,17.96°W,11.2532,-17.9611,24.5,693,146,Uncataloged Impact Crater
Crater #114,34.2%,9.66°N,23.40°W,9.6604,-23.4048,36.75,228,284,Uncataloged Impact Crater
Crater #115,33.3%,11.56°N,17.72°W,11.5649,-17.7152,31.15,714,119,Uncataloged Impact Crater
Crater #116,33.2%,11.09°N,23.23°W,11.0916,-23.2292,32.9,243,160,Uncataloged Impact Crater
Crater #117,33.1%,10.95°N,18.50°W,10.9531,-18.4996,24.5,647,172,Uncataloged Impact Crater
Crater #118,33.0%,10.58°N,25.63°W,10.5838,-25.6291,129.85,38,204,Uncataloged Impact Crater
Crater #119,32.8%,11.18°N,15.60°W,11.184,-15.5963,37.45,895,152,IAU: Gay-Lussac Crater
Crater #120,32.6%,9.09°N,24.08°W,9.0948,-24.0838,70.0,170,333,Uncataloged Impact Crater
Crater #121,32.6%,9.13°N,14.27°W,9.1295,-14.2734,27.3,1008,330,Uncataloged Impact Crater
Crater #122,32.4%,12.28°N,25.14°W,12.2805,-25.1374,36.75,80,57,Uncataloged Impact Crater
Crater #123,32.4%,7.43°N,20.77°W,7.4327,-20.7707,189.35,453,477,Uncataloged Impact Crater
Crater #124,32.1%,9.48°N,19.10°W,9.4757,-19.0966,61.25,596,300,Uncataloged Impact Crater
Crater #125,31.9%,7.93°N,14.46°W,7.9291,-14.4607,31.5,992,434,Uncataloged Impact Crater
Crater #126,31.9%,8.58°N,24.76°W,8.5754,-24.7628,35.7,112,378,Uncataloged Impact Crater
Crater #127,31.2%,9.79°N,24.61°W,9.7874,-24.6106,47.95,125,273,Uncataloged Impact Crater
Crater #128,31.2%,10.21°N,18.86°W,10.2144,-18.8625,33.95,616,236,Uncataloged Impact Crater
Crater #129,31.1%,9.49°N,24.36°W,9.4873,-24.3647,143.15,146,299,Uncataloged Impact Crater
Crater #130,31.0%,11.06°N,14.50°W,11.057,-14.4958,36.4,989,163,Uncataloged Impact Crater
Crater #131,30.9%,7.74°N,19.51°W,7.7444,-19.5064,32.2,561,450,IAU: Copernicus H
Crater #132,30.9%,7.05°N,21.18°W,7.0518,-21.1804,32.2,418,510,Uncataloged Impact Crater
Crater #133,30.9%,8.36°N,25.79°W,8.3561,-25.793,51.45,24,397,IAU: Fauth Crater
Crater #134,30.9%,6.61°N,15.30°W,6.6132,-15.3036,25.2,920,548,Uncataloged Impact Crater
Crater #135,30.6%,10.24°N,22.37°W,10.2375,-22.3745,33.25,316,234,Uncataloged Impact Crater
Crater #136,30.5%,6.54°N,18.55°W,6.544,-18.5464,20.65,643,554,Uncataloged Impact Crater
Crater #137,30.3%,10.56°N,22.00°W,10.5607,-21.9999,37.1,348,206,Uncataloged Impact Crater
Crater #138,30.3%,7.48°N,16.58°W,7.4789,-16.5796,33.95,811,473,Uncataloged Impact Crater
Crater #139,30.1%,8.15°N,25.06°W,8.1484,-25.0554,40.25,87,415,Uncataloged Impact Crater
Crater #140,29.6%,6.74°N,17.76°W,6.7402,-17.762,24.15,710,537,Uncataloged Impact Crater
Crater #141,29.5%,11.45°N,19.25°W,11.4494,-19.2488,33.25,583,129,Uncataloged Impact Crater
Crater #142,29.5%,8.81°N,25.15°W,8.8063,-25.1491,29.75,79,358,IAU: Fauth Crater
Crater #143,29.4%,6.76°N,18.49°W,6.7633,-18.4879,22.05,648,535,Uncataloged Impact Crater
Crater #144,29.3%,12.26°N,24.17°W,12.2574,-24.1657,41.3,163,59,Uncataloged Impact Crater
Crater #145,28.8%,6.66°N,25.64°W,6.6594,-25.6408,25.55,37,544,Uncataloged Impact Crater
Crater #146,28.7%,9.57°N,14.60°W,9.5681,-14.6012,31.5,980,292,Uncataloged Impact Crater
Crater #147,27.5%,10.43°N,16.54°W,10.4337,-16.5445,31.5,814,217,IAU: Gay-Lussac Crater
Crater #148,27.4%,7.24°N,19.88°W,7.2365,-19.881,44.1,529,494,Uncataloged Impact Crater
Crater #149,27.3%,9.35°N,17.52°W,9.3488,-17.5162,31.85,731,311,IAU: Copernicus A
Crater #150,27.3%,11.90°N,16.16°W,11.8996,-16.1582,31.15,847,90,IAU: Gay-Lussac Crater
Crater #151,27.2%,10.33°N,25.87°W,10.3298,-25.8749,64.75,17,226,Uncataloged Impact Crater
Crater #152,26.7%,8.44°N,18.49°W,8.4369,-18.4879,29.4,648,390,IAU: Copernicus H
Crater #153,26.5%,12.53°N,25.58°W,12.5344,-25.5822,29.4,42,35,Uncataloged Impact Crater
Crater #154,26.4%,6.92°N,18.85°W,6.9249,-18.8508,30.45,617,521,Uncataloged Impact Crater
Crater #155,26.3%,7.99°N,14.91°W,7.9868,-14.9056,29.05,954,429,Uncataloged Impact Crater
Crater #156,26.2%,9.71°N,22.46°W,9.7066,-22.4565,30.8,309,280,Uncataloged Impact Crater
Crater #157,25.2%,7.64°N,18.70°W,7.6405,-18.6986,31.5,630,459,IAU: Copernicus H
Crater #158,25.0%,9.96°N,22.84°W,9.9605,-22.8428,77.7,276,258,Uncataloged Impact Crater
